employee_id,skill_name,proficiency,skill_type
132,Java,Intermediate,Achieved
132,Cloud Architecture,Intermediate,Achieved
133,User Research,Expert,Developing
133,A/B Testing,Advanced,Achieved
133,Product Strategy,Advanced,Achieved
134,UX Research,Advanced,Developing
134,Design Systems,Advanced,Achieved
134,UI Design,Developing,Achieved
135,Zendesk,Developing,Achieved
135,Escalation Management,Advanced,Developing
135,SQL,Advanced,Achieved
135,Knowledge Base,Advanced,Developing
135,Customer Support,Expert,Achieved
136,Recruiting,Intermediate,Developing
136,Workforce Planning,Expert,Achieved
136,HRIS,Developing,Developing
136,Employee Relations,Advanced,Achieved
136,Benefits Administration,Advanced,Achieved
137,Forecasting,Intermediate,Achieved
137,Financial Modeling,Advanced,Developing
137,Excel,Developing,Achieved
137,SQL,Developing,Developing
138,Systems Administration,Advanced,Achieved
138,Scripting,Advanced,Achieved
138,Networking,Advanced,Achieved
138,Cloud Support,Advanced,Developing
138,Security,Intermediate,Achieved
139,Project Coordination,Intermediate,Developing
139,Excel,Developing,Developing
139,Reporting,Developing,Achieved
139,Workflow Design,Advanced,Developing
140,Presentation Skills,Intermediate,Developing
140,Pipeline Management,Developing,Achieved
140,CRM,Intermediate,Achieved
140,Forecasting,Advanced,Achieved
140,Negotiation,Developing,Achieved
141,CI/CD,Intermediate,Achieved
141,SQL,Developing,Developing
141,Java,Intermediate,Achieved
141,Python,Advanced,Developing
142,Automation,Intermediate,Achieved
142,Cloud Architecture,Advanced,Achieved
142,CI/CD,Expert,Developing
142,SQL,Intermediate,Achieved
142,System Design,Developing,Developing
143,User Research,Developing,Developing
143,A/B Testing,Intermediate,Achieved
143,Stakeholder Management,Developing,Developing
143,Roadmapping,Intermediate,Achieved
144,UX Research,Advanced,Achieved
144,UI Design,Expert,Achieved
144,Prototyping,Intermediate,Achieved
144,Design Systems,Intermediate,Achieved
145,Zendesk,Developing,Achieved
145,Knowledge Base,Expert,Achieved
145,SQL,Expert,Achieved
145,Customer Support,Advanced,Developing
146,Excel,Advanced,Achieved
146,HRIS,Developing,Developing
146,Recruiting,Intermediate,Achieved
146,Workforce Planning,Expert,Developing
146,Employee Relations,Advanced,Developing
147,Financial Modeling,Expert,Achieved
147,Reporting,Developing,Achieved
147,SQL,Advanced,Achieved
147,Excel,Intermediate,Developing
148,Systems Administration,Advanced,Developing
148,Scripting,Developing,Achieved
148,Networking,Intermediate,Achieved
149,Excel,Expert,Developing
149,Project Coordination,Advanced,Developing
149,Reporting,Expert,Achieved
149,Workflow Design,Expert,Achieved
150,Pipeline Management,Advanced,Achieved
150,Presentation Skills,Expert,Achieved
150,Forecasting,Intermediate,Developing
151,Automation,Advanced,Achieved
151,Python,Expert,Developing
151,SQL,Advanced,Achieved
152,System Design,Advanced,Achieved
152,Automation,Advanced,Achieved
152,Python,Advanced,Developing
152,Cloud Architecture,Intermediate,Achieved
152,CI/CD,Intermediate,Achieved
153,Product Strategy,Expert,Achieved
153,A/B Testing,Intermediate,Developing
153,User Research,Advanced,Achieved
153,Stakeholder Management,Intermediate,Achieved
153,Roadmapping,Expert,Developing
154,UX Research,Advanced,Developing
154,Accessibility,Developing,Achieved
154,Design Systems,Intermediate,Achieved
154,Figma,Intermediate,Achieved
155,Knowledge Base,Advanced,Developing
155,Customer Support,Intermediate,Developing
155,Escalation Management,Advanced,Achieved
155,Troubleshooting,Intermediate,Developing
156,HRIS,Advanced,Achieved
156,Benefits Administration,Intermediate,Achieved
156,Recruiting,Advanced,Developing
157,Forecasting,Advanced,Achieved
157,Budgeting,Advanced,Developing
157,Excel,Intermediate,Achieved
157,Reporting,Advanced,Developing
157,Financial Modeling,Intermediate,Achieved
158,Scripting,Intermediate,Achieved
158,Cloud Support,Intermediate,Achieved
158,Security,Advanced,Developing
158,Systems Administration,Developing,Achieved
159,Excel,Advanced,Achieved
159,Process Improvement,Advanced,Achieved
159,Reporting,Advanced,Achieved
159,Workflow Design,Expert,Developing
159,Project Coordination,Intermediate,Developing
160,Forecasting,Developing,Achieved
160,Pipeline Management,Intermediate,Achieved
160,Presentation Skills,Developing,Achieved
160,Negotiation,Developing,Achieved
160,CRM,Advanced,Achieved
